,mean,sd,hdi_3%,hdi_97%
beta_9[17],0.336,0.042,0.259,0.419
beta_9[29],0.339,0.044,0.253,0.426
beta_9[40],0.235,0.05,0.144,0.329
beta_9[38],0.328,0.039,0.251,0.403
beta_9[24],0.216,0.049,0.122,0.306
beta_9[34],0.352,0.047,0.271,0.454
beta_9[44],0.333,0.042,0.255,0.417
beta_9[30],0.256,0.06,0.15,0.37
beta_9[23],0.346,0.048,0.258,0.436
beta_9[32],0.254,0.059,0.148,0.369
beta_9[15],0.336,0.042,0.255,0.413
beta_9[4],0.324,0.04,0.24,0.397
beta_9[26],0.228,0.052,0.142,0.338
beta_9[42],0.269,0.06,0.16,0.38
beta_9[13],0.352,0.054,0.251,0.459
beta_9[14],0.319,0.04,0.242,0.393
beta_9[43],0.364,0.054,0.276,0.48
beta_9[3],0.332,0.046,0.247,0.413
beta_9[49],0.343,0.045,0.259,0.432
beta_9[46],0.147,0.062,0.034,0.264
beta_9[37],0.326,0.04,0.25,0.403
beta_9[31],0.315,0.043,0.235,0.395
beta_9[9],0.262,0.06,0.154,0.374
beta_9[16],0.313,0.046,0.224,0.392
beta_9[28],0.336,0.042,0.26,0.424
beta_9[41],0.328,0.039,0.248,0.398
beta_9[11],0.242,0.049,0.152,0.332
beta_9[25],0.319,0.041,0.231,0.388
beta_9[35],0.358,0.058,0.259,0.473
beta_9[22],0.335,0.04,0.256,0.409
beta_9[27],0.252,0.063,0.143,0.381
beta_9[2],0.349,0.046,0.262,0.439
beta_9[47],0.141,0.062,0.035,0.261
beta_9[5],0.324,0.045,0.237,0.412
beta_9[36],0.332,0.041,0.259,0.41
beta_9[48],0.322,0.041,0.244,0.399
g_beta_10[0],-0.093,0.027,-0.144,-0.048
g_beta_10[1],0.031,0.05,-0.06,0.12
g_beta_10[2],-0.064,0.048,-0.149,0.024
beta_10[1],-0.104,0.046,-0.211,-0.029
beta_10[18],-0.114,0.05,-0.216,-0.03
beta_10[39],-0.141,0.059,-0.254,-0.036
beta_10[8],-0.06,0.056,-0.163,0.042
beta_10[10],-0.168,0.056,-0.266,-0.063
beta_10[0],-0.081,0.055,-0.185,0.018
beta_10[19],-0.101,0.046,-0.191,-0.015
beta_10[12],-0.161,0.052,-0.255,-0.062
beta_10[7],-0.089,0.041,-0.16,-0.001
beta_10[6],-0.066,0.054,-0.171,0.034
beta_10[21],-0.089,0.044,-0.164,0.004
beta_10[20],-0.089,0.045,-0.177,-0.005
beta_10[33],-0.084,0.043,-0.156,0.012
beta_10[45],-0.104,0.048,-0.204,-0.021
beta_10[17],-0.068,0.057,-0.164,0.049
beta_10[29],-0.061,0.063,-0.154,0.077
