,mean,sd,hdi_3%,hdi_97%
"beta_protocol[36, beta_11]",0.287,0.111,0.09,0.504
"beta_protocol[36, beta_12]",0.208,0.066,0.084,0.33
"beta_protocol[36, beta_13]",0.556,0.122,0.325,0.783
"beta_protocol[36, beta_14]",-0.057,0.057,-0.159,0.059
"beta_protocol[36, beta_15]",-0.121,0.054,-0.237,-0.027
"beta_protocol[36, beta_16]",0.453,0.064,0.334,0.572
"beta_protocol[36, beta_17]",-0.031,0.092,-0.218,0.138
"beta_protocol[36, beta_18]",0.362,0.039,0.289,0.435
"beta_protocol[36, beta_19]",-0.048,0.088,-0.211,0.123
"beta_protocol[36, beta_20]",0.173,0.044,0.087,0.258
"beta_protocol[36, beta_21]",-0.448,0.096,-0.629,-0.268
"beta_protocol[36, beta_22]",0.227,0.072,0.099,0.367
"beta_protocol[36, beta_23]",-0.032,0.064,-0.147,0.086
"beta_protocol[36, beta_24]",0.63,0.095,0.462,0.817
"beta_protocol[36, beta_25]",0.932,0.123,0.71,1.168
"beta_protocol[36, beta_26]",0.16,0.048,0.073,0.255
"beta_protocol[36, beta_27]",0.172,0.095,0.004,0.352
"beta_protocol[36, beta_28]",0.517,0.072,0.407,0.663
"beta_protocol[36, beta_29]",0.283,0.059,0.172,0.397
"beta_protocol[36, beta_30]",-0.534,0.088,-0.701,-0.375
"beta_protocol[36, beta_31]",0.582,0.113,0.379,0.802
"beta_protocol[36, beta_32]",-0.354,0.07,-0.479,-0.218
"beta_protocol[36, beta_33]",-0.274,0.101,-0.476,-0.093
"beta_protocol[36, beta_34]",-0.096,0.074,-0.237,0.047
"beta_protocol[36, beta_35]",-0.163,0.076,-0.304,-0.014
"beta_protocol[36, beta_36]",0.075,0.081,-0.073,0.226
"beta_protocol[36, beta_37]",0.036,0.058,-0.066,0.151
"beta_protocol[36, beta_38]",-0.168,0.069,-0.298,-0.038
"beta_protocol[36, beta_39]",-0.074,0.033,-0.136,-0.013
"beta_protocol[48, beta_0]",-0.216,0.053,-0.311,-0.113
"beta_protocol[48, beta_1]",-0.277,0.07,-0.406,-0.145
"beta_protocol[48, beta_2]",-0.17,0.048,-0.263,-0.082
"beta_protocol[48, beta_3]",0.201,0.047,0.112,0.291
"beta_protocol[48, beta_4]",-0.276,0.041,-0.347,-0.191
"beta_protocol[48, beta_5]",-0.216,0.056,-0.325,-0.112
"beta_protocol[48, beta_6]",-0.296,0.061,-0.42,-0.186
"beta_protocol[48, beta_7]",0.134,0.077,-0.008,0.276
"beta_protocol[48, beta_8]",-0.363,0.054,-0.468,-0.266
"beta_protocol[48, beta_9]",0.315,0.051,0.218,0.414
"beta_protocol[48, beta_10]",-0.095,0.058,-0.202,0.016
"beta_protocol[48, beta_11]",0.206,0.097,0.039,0.401
"beta_protocol[48, beta_12]",0.211,0.066,0.088,0.343
"beta_protocol[48, beta_13]",0.674,0.113,0.472,0.894
"beta_protocol[48, beta_14]",-0.057,0.053,-0.154,0.046
"beta_protocol[48, beta_15]",-0.12,0.051,-0.215,-0.019
"beta_protocol[48, beta_16]",0.352,0.069,0.219,0.472
"beta_protocol[48, beta_17]",-0.002,0.079,-0.153,0.152
"beta_protocol[48, beta_18]",0.376,0.036,0.315,0.45
"beta_protocol[48, beta_19]",0.001,0.085,-0.154,0.17
"beta_protocol[48, beta_20]",0.143,0.046,0.053,0.224
"beta_protocol[48, beta_21]",-0.434,0.093,-0.602,-0.256
"beta_protocol[48, beta_22]",0.213,0.065,0.095,0.333
"beta_protocol[48, beta_23]",-0.039,0.064,-0.156,0.08
"beta_protocol[48, beta_24]",0.43,0.07,0.296,0.563
"beta_protocol[48, beta_25]",0.749,0.115,0.521,0.95
"beta_protocol[48, beta_26]",0.162,0.043,0.083,0.246
"beta_protocol[48, beta_27]",0.073,0.094,-0.107,0.249
"beta_protocol[48, beta_28]",0.449,0.062,0.326,0.567
"beta_protocol[48, beta_29]",0.316,0.055,0.22,0.423
"beta_protocol[48, beta_30]",-0.432,0.077,-0.582,-0.294
"beta_protocol[48, beta_31]",0.55,0.1,0.376,0.751
"beta_protocol[48, beta_32]",-0.423,0.066,-0.549,-0.304
"beta_protocol[48, beta_33]",-0.338,0.092,-0.507,-0.16
"beta_protocol[48, beta_34]",-0.061,0.069,-0.194,0.067
"beta_protocol[48, beta_35]",-0.148,0.072,-0.28,-0.013
"beta_protocol[48, beta_36]",0.025,0.075,-0.11,0.171
"beta_protocol[48, beta_37]",0.018,0.053,-0.086,0.116
"beta_protocol[48, beta_38]",-0.121,0.063,-0.233,-0.001
"beta_protocol[48, beta_39]",-0.068,0.033,-0.132,-0.003
chol[0],0.045,0.025,0.001,0.084
chol[1],0.006,0.016,-0.025,0.038
chol[2],0.104,0.024,0.059,0.149
chol[3],-0.001,0.006,-0.013,0.01
chol[4],0.003,0.006,-0.006,0.016
chol[5],0.031,0.021,0.001,0.067
chol[6],-0.0,0.005,-0.011,0.011
chol[7],-0.001,0.006,-0.013,0.011
chol[8],0.001,0.006,-0.011,0.012
chol[9],0.031,0.019,0.0,0.063
chol[10],0.0,0.005,-0.009,0.01
chol[11],0.002,0.005,-0.007,0.013
chol[12],0.001,0.005,-0.008,0.012
chol[13],-0.001,0.005,-0.011,0.009
chol[14],0.025,0.018,0.0,0.057
chol[15],0.006,0.011,-0.015,0.026
chol[16],0.009,0.01,-0.01,0.026
chol[17],0.004,0.011,-0.018,0.023
chol[18],-0.003,0.011,-0.024,0.017
chol[19],0.002,0.011,-0.018,0.022
chol[20],0.064,0.017,0.032,0.096
chol[21],0.002,0.01,-0.015,0.023
chol[22],-0.006,0.009,-0.025,0.01
chol[23],-0.001,0.01,-0.021,0.017
chol[24],-0.0,0.009,-0.018,0.019
chol[25],-0.003,0.011,-0.026,0.015
chol[26],-0.002,0.01,-0.021,0.019
chol[27],0.054,0.022,0.014,0.097
chol[28],-0.002,0.015,-0.034,0.026
chol[29],-0.011,0.014,-0.038,0.014
chol[30],-0.004,0.015,-0.033,0.024
chol[31],0.005,0.015,-0.024,0.031
chol[32],-0.004,0.015,-0.032,0.026
chol[33],-0.012,0.015,-0.04,0.016
chol[34],0.006,0.015,-0.021,0.034
chol[35],0.087,0.022,0.044,0.127
chol[36],-0.001,0.007,-0.018,0.012
chol[37],0.001,0.007,-0.01,0.017
chol[38],-0.001,0.007,-0.014,0.014
chol[39],0.0,0.007,-0.014,0.012
chol[40],0.001,0.007,-0.013,0.016
chol[41],0.002,0.008,-0.013,0.017
chol[42],-0.001,0.008,-0.018,0.012
chol[43],-0.006,0.01,-0.028,0.009
chol[44],0.034,0.024,0.001,0.078
chol[45],0.001,0.007,-0.011,0.016
chol[46],0.0,0.006,-0.011,0.012
chol[47],0.0,0.006,-0.014,0.014
chol[48],0.001,0.006,-0.011,0.014
chol[49],0.001,0.006,-0.01,0.014
chol[50],0.0,0.006,-0.013,0.012
chol[51],-0.003,0.007,-0.017,0.009
chol[52],-0.001,0.006,-0.014,0.01
chol[53],0.0,0.006,-0.011,0.012
chol[54],0.029,0.02,0.0,0.063
chol[55],-0.003,0.01,-0.024,0.013
chol[56],-0.005,0.009,-0.022,0.012
chol[57],-0.002,0.01,-0.021,0.016
chol[58],0.004,0.013,-0.019,0.023
chol[59],0.001,0.01,-0.018,0.021
chol[60],-0.003,0.01,-0.024,0.014
chol[61],0.003,0.01,-0.015,0.025
chol[62],0.003,0.01,-0.016,0.022
chol[63],0.001,0.011,-0.019,0.023
chol[64],-0.0,0.01,-0.019,0.02
chol[65],0.051,0.024,0.005,0.09
chol[66],0.002,0.016,-0.031,0.031
chol[67],-0.008,0.015,-0.037,0.02
chol[68],-0.0,0.015,-0.03,0.03
chol[69],0.003,0.016,-0.026,0.035
chol[70],-0.003,0.016,-0.034,0.027
chol[71],-0.008,0.016,-0.04,0.023
chol[72],0.003,0.015,-0.025,0.033
chol[73],0.016,0.018,-0.014,0.051
chol[74],0.002,0.016,-0.029,0.032
chol[75],-0.001,0.016,-0.032,0.03
chol[76],0.005,0.016,-0.026,0.036
chol[77],0.083,0.032,0.019,0.14
chol[78],-0.002,0.009,-0.021,0.016
chol[79],-0.004,0.009,-0.023,0.01
chol[80],0.0,0.009,-0.02,0.017
chol[81],0.001,0.009,-0.017,0.019
chol[82],-0.001,0.009,-0.019,0.019
chol[83],-0.005,0.009,-0.024,0.012
chol[84],-0.001,0.009,-0.018,0.018
chol[85],0.005,0.009,-0.01,0.027
chol[86],0.001,0.009,-0.018,0.019
chol[87],0.0,0.009,-0.019,0.018
chol[88],0.002,0.009,-0.014,0.021
chol[89],0.001,0.009,-0.017,0.019
chol[90],0.045,0.022,0.005,0.082
chol[91],-0.003,0.027,-0.052,0.051
chol[92],-0.009,0.024,-0.056,0.037
chol[93],-0.011,0.028,-0.064,0.042
chol[94],0.004,0.026,-0.045,0.054
chol[95],-0.014,0.028,-0.065,0.044
chol[96],-0.02,0.025,-0.066,0.028
chol[97],0.01,0.026,-0.042,0.058
chol[98],0.035,0.026,-0.013,0.086
chol[99],-0.001,0.024,-0.043,0.047
chol[100],-0.006,0.027,-0.061,0.043
chol[101],0.009,0.027,-0.042,0.059
chol[102],0.0,0.025,-0.049,0.045
chol[103],0.013,0.025,-0.033,0.062
chol[104],0.14,0.027,0.092,0.191
chol[105],0.002,0.007,-0.013,0.016
chol[106],0.004,0.007,-0.007,0.02
chol[107],0.001,0.007,-0.014,0.016
chol[108],-0.002,0.007,-0.016,0.012
chol[109],0.001,0.007,-0.013,0.015
chol[110],0.002,0.007,-0.012,0.016
chol[111],-0.0,0.007,-0.015,0.013
chol[112],-0.0,0.007,-0.014,0.013
chol[113],0.0,0.008,-0.014,0.016
chol[114],0.0,0.007,-0.013,0.014
chol[115],-0.001,0.007,-0.016,0.013
chol[116],-0.002,0.007,-0.017,0.011
chol[117],-0.001,0.007,-0.017,0.013
chol[118],0.001,0.007,-0.013,0.015
chol[119],0.035,0.018,0.003,0.066
chol[120],0.001,0.006,-0.01,0.013
chol[121],0.001,0.006,-0.01,0.013
chol[122],0.001,0.006,-0.008,0.014
chol[123],-0.0,0.006,-0.013,0.01
chol[124],0.0,0.006,-0.01,0.013
chol[125],0.002,0.006,-0.009,0.016
chol[126],-0.001,0.006,-0.014,0.01
chol[127],-0.002,0.006,-0.014,0.008
chol[128],0.0,0.006,-0.01,0.013
chol[129],0.001,0.006,-0.01,0.014
chol[130],-0.0,0.006,-0.012,0.01
chol[131],-0.0,0.006,-0.01,0.012
chol[132],-0.002,0.007,-0.017,0.009
chol[133],-0.002,0.007,-0.018,0.009
chol[134],0.001,0.006,-0.011,0.013
chol[135],0.025,0.017,0.001,0.055
chol[136],-0.004,0.012,-0.028,0.018
chol[137],-0.001,0.01,-0.021,0.019
chol[138],-0.003,0.011,-0.025,0.016
chol[139],-0.001,0.01,-0.023,0.018
chol[140],-0.001,0.01,-0.022,0.02
chol[141],0.0,0.011,-0.021,0.021
chol[142],-0.0,0.01,-0.022,0.02
chol[143],-0.003,0.01,-0.024,0.016
chol[144],-0.0,0.011,-0.02,0.021
chol[145],-0.001,0.012,-0.023,0.023
chol[146],-0.002,0.011,-0.025,0.017
chol[147],-0.004,0.011,-0.028,0.015
chol[148],-0.002,0.011,-0.023,0.018
chol[149],0.0,0.011,-0.018,0.022
chol[150],-0.0,0.011,-0.023,0.019
chol[151],-0.001,0.011,-0.022,0.021
chol[152],0.052,0.025,0.003,0.093
chol[153],0.004,0.014,-0.021,0.036
chol[154],0.007,0.014,-0.017,0.036
chol[155],0.004,0.013,-0.02,0.032
chol[156],0.0,0.014,-0.025,0.031
chol[157],0.0,0.012,-0.024,0.026
chol[158],0.006,0.013,-0.018,0.035
chol[159],-0.002,0.013,-0.027,0.024
chol[160],-0.001,0.014,-0.03,0.025
chol[161],0.002,0.014,-0.027,0.028
chol[162],0.001,0.014,-0.03,0.029
chol[163],-0.004,0.013,-0.032,0.021
chol[164],-0.008,0.016,-0.042,0.018
chol[165],-0.006,0.014,-0.038,0.015
chol[166],-0.004,0.014,-0.035,0.021
chol[167],0.003,0.013,-0.022,0.031
chol[168],0.0,0.013,-0.024,0.028
chol[169],0.0,0.013,-0.025,0.026
chol[170],0.057,0.034,0.001,0.109
chol[171],0.0,0.004,-0.007,0.008
chol[172],0.001,0.004,-0.006,0.009
chol[173],-0.0,0.004,-0.009,0.008
chol[174],-0.0,0.004,-0.008,0.007
chol[175],-0.0,0.004,-0.008,0.007
chol[176],-0.0,0.004,-0.007,0.007
chol[177],-0.0,0.004,-0.007,0.007
chol[178],0.0,0.004,-0.007,0.008
chol[179],0.0,0.004,-0.007,0.007
chol[180],-0.0,0.004,-0.008,0.008
chol[181],0.0,0.004,-0.007,0.008
chol[182],-0.0,0.004,-0.009,0.007
chol[183],0.0,0.004,-0.008,0.008
chol[184],0.0,0.004,-0.007,0.008
chol[185],-0.0,0.004,-0.007,0.008
chol[186],-0.0,0.004,-0.008,0.007
chol[187],-0.0,0.004,-0.008,0.007
chol[188],-0.001,0.004,-0.009,0.007
chol[189],0.014,0.013,0.0,0.039
chol[190],0.0,0.015,-0.032,0.028
chol[191],0.009,0.015,-0.019,0.041
chol[192],0.002,0.015,-0.025,0.032
chol[193],-0.002,0.016,-0.034,0.028
chol[194],0.004,0.015,-0.025,0.033
chol[195],0.005,0.014,-0.02,0.035
chol[196],-0.005,0.014,-0.034,0.021
chol[197],-0.008,0.014,-0.038,0.017
chol[198],0.001,0.016,-0.028,0.033
chol[199],0.002,0.015,-0.024,0.033
chol[200],-0.003,0.014,-0.03,0.026
chol[201],-0.006,0.014,-0.038,0.018
chol[202],-0.006,0.014,-0.034,0.019
chol[203],0.001,0.016,-0.032,0.031
chol[204],0.0,0.018,-0.033,0.034
chol[205],-0.0,0.015,-0.032,0.028
chol[206],0.003,0.014,-0.027,0.03
chol[207],0.003,0.017,-0.028,0.039
chol[208],0.001,0.015,-0.028,0.033
chol[209],0.07,0.027,0.023,0.123
chol[210],-0.0,0.006,-0.012,0.011
chol[211],0.0,0.005,-0.01,0.012
chol[212],0.001,0.006,-0.01,0.015
chol[213],-0.0,0.006,-0.012,0.012
chol[214],0.0,0.006,-0.012,0.013
chol[215],0.0,0.006,-0.012,0.011
chol[216],0.0,0.006,-0.014,0.011
chol[217],0.0,0.006,-0.011,0.01
chol[218],0.001,0.006,-0.011,0.012
chol[219],0.0,0.006,-0.012,0.012
chol[220],0.002,0.006,-0.01,0.016
chol[221],-0.001,0.006,-0.014,0.01
chol[222],-0.001,0.006,-0.011,0.012
chol[223],-0.001,0.006,-0.014,0.012
chol[224],-0.0,0.006,-0.012,0.01
chol[225],-0.001,0.006,-0.013,0.01
chol[226],0.001,0.006,-0.011,0.013
chol[227],-0.0,0.006,-0.013,0.011
chol[228],-0.0,0.006,-0.011,0.011
chol[229],-0.002,0.006,-0.014,0.011
chol[230],0.024,0.015,0.001,0.05
chol[231],0.001,0.013,-0.025,0.026
chol[232],0.007,0.013,-0.015,0.033
chol[233],-0.0,0.014,-0.03,0.026
chol[234],-0.001,0.013,-0.025,0.026
chol[235],-0.001,0.014,-0.029,0.026
chol[236],0.005,0.013,-0.018,0.033
chol[237],-0.003,0.014,-0.031,0.023
chol[238],-0.006,0.014,-0.034,0.019
chol[239],0.002,0.013,-0.023,0.031
chol[240],-0.003,0.014,-0.033,0.024
chol[241],-0.001,0.014,-0.028,0.026
chol[242],-0.006,0.014,-0.035,0.021
chol[243],-0.007,0.014,-0.037,0.016
chol[244],0.0,0.013,-0.025,0.026
chol[245],-0.002,0.013,-0.026,0.024
chol[246],-0.0,0.014,-0.029,0.025
chol[247],0.006,0.014,-0.019,0.036
chol[248],-0.002,0.014,-0.029,0.027
chol[249],-0.0,0.014,-0.028,0.025
chol[250],0.0,0.013,-0.029,0.025
chol[251],-0.002,0.013,-0.03,0.022
chol[252],0.058,0.027,0.007,0.101
chol[253],-0.004,0.011,-0.026,0.015
chol[254],-0.005,0.01,-0.026,0.015
chol[255],-0.001,0.011,-0.021,0.02
chol[256],0.004,0.012,-0.017,0.028
chol[257],-0.0,0.011,-0.022,0.02
chol[258],-0.003,0.01,-0.023,0.017
chol[259],-0.002,0.011,-0.024,0.018
chol[260],0.004,0.01,-0.015,0.025
chol[261],0.0,0.011,-0.022,0.02
chol[262],0.001,0.011,-0.019,0.023
chol[263],-0.002,0.011,-0.022,0.02
chol[264],0.002,0.01,-0.018,0.023
chol[265],0.002,0.011,-0.017,0.024
chol[266],0.0,0.01,-0.018,0.022
chol[267],-0.002,0.011,-0.022,0.019
chol[268],0.001,0.011,-0.02,0.022
chol[269],-0.003,0.01,-0.023,0.016
chol[270],-0.002,0.011,-0.024,0.019
chol[271],-0.002,0.011,-0.024,0.017
chol[272],-0.002,0.01,-0.022,0.018
chol[273],-0.002,0.011,-0.023,0.019
chol[274],-0.001,0.011,-0.021,0.022
chol[275],0.046,0.021,0.002,0.079
chol[276],0.001,0.006,-0.01,0.017
chol[277],0.002,0.006,-0.009,0.016
chol[278],0.0,0.006,-0.012,0.013
chol[279],0.0,0.006,-0.012,0.012
chol[280],0.0,0.006,-0.012,0.014
chol[281],0.001,0.006,-0.011,0.013
chol[282],-0.0,0.006,-0.011,0.013
chol[283],0.0,0.006,-0.011,0.013
chol[284],-0.0,0.006,-0.013,0.011
chol[285],0.0,0.006,-0.012,0.013
chol[286],-0.0,0.006,-0.011,0.012
chol[287],0.0,0.006,-0.012,0.014
chol[288],0.0,0.006,-0.011,0.013
chol[289],-0.002,0.006,-0.014,0.009
chol[290],0.0,0.006,-0.013,0.013
chol[291],0.001,0.006,-0.011,0.013
chol[292],-0.003,0.007,-0.017,0.009
chol[293],-0.0,0.006,-0.013,0.013
chol[294],-0.001,0.006,-0.012,0.011
chol[295],-0.001,0.006,-0.015,0.01
chol[296],0.0,0.006,-0.011,0.014
chol[297],-0.002,0.007,-0.016,0.01
chol[298],0.001,0.006,-0.011,0.013
chol[299],0.023,0.015,0.002,0.049
chol[300],-0.004,0.015,-0.035,0.021
chol[301],-0.008,0.014,-0.035,0.019
chol[302],-0.002,0.015,-0.031,0.025
chol[303],0.003,0.014,-0.022,0.034
chol[304],-0.001,0.015,-0.031,0.027
chol[305],-0.011,0.015,-0.042,0.014
chol[306],-0.005,0.014,-0.032,0.023
chol[307],0.004,0.014,-0.026,0.029
chol[308],0.0,0.015,-0.028,0.032
chol[309],0.0,0.015,-0.03,0.029
chol[310],0.0,0.014,-0.025,0.029
chol[311],0.0,0.014,-0.027,0.027
chol[312],0.006,0.015,-0.022,0.035
chol[313],0.001,0.014,-0.024,0.031
chol[314],-0.003,0.014,-0.033,0.022
chol[315],-0.0,0.015,-0.029,0.028
chol[316],-0.004,0.014,-0.03,0.023
chol[317],-0.004,0.014,-0.032,0.021
chol[318],-0.001,0.015,-0.031,0.026
chol[319],-0.004,0.015,-0.032,0.025
chol[320],-0.001,0.015,-0.03,0.026
chol[321],-0.0,0.014,-0.027,0.026
chol[322],0.01,0.015,-0.02,0.038
chol[323],0.001,0.015,-0.028,0.027
chol[324],0.06,0.02,0.022,0.096
chol[325],-0.01,0.022,-0.051,0.032
chol[326],-0.03,0.021,-0.069,0.011
chol[327],-0.011,0.024,-0.057,0.034
chol[328],0.001,0.024,-0.04,0.049
chol[329],-0.004,0.023,-0.047,0.039
chol[330],-0.012,0.022,-0.054,0.028
chol[331],0.011,0.022,-0.032,0.052
chol[332],0.005,0.022,-0.037,0.049
chol[333],0.003,0.023,-0.042,0.045
chol[334],-0.006,0.024,-0.054,0.036
chol[335],0.012,0.023,-0.031,0.054
chol[336],-0.008,0.022,-0.05,0.035
chol[337],-0.006,0.023,-0.054,0.034
chol[338],0.008,0.023,-0.036,0.051
chol[339],-0.009,0.023,-0.051,0.035
chol[340],-0.003,0.023,-0.046,0.038
chol[341],0.018,0.024,-0.029,0.062
chol[342],-0.008,0.024,-0.051,0.039
chol[343],0.0,0.022,-0.044,0.04
chol[344],0.002,0.022,-0.041,0.043
chol[345],0.0,0.023,-0.041,0.043
chol[346],0.002,0.023,-0.043,0.044
chol[347],-0.004,0.023,-0.047,0.04
chol[348],-0.008,0.023,-0.054,0.032
chol[349],0.004,0.022,-0.037,0.043
chol[350],0.099,0.021,0.061,0.138
chol[351],-0.001,0.005,-0.012,0.01
chol[352],-0.001,0.005,-0.012,0.011
chol[353],-0.0,0.006,-0.013,0.011
chol[354],0.0,0.005,-0.011,0.011
chol[355],0.001,0.006,-0.012,0.014
chol[356],-0.0,0.005,-0.011,0.011
chol[357],-0.001,0.006,-0.013,0.011
chol[358],-0.001,0.006,-0.012,0.011
chol[359],0.0,0.006,-0.011,0.012
chol[360],0.0,0.005,-0.01,0.012
chol[361],0.001,0.006,-0.01,0.012
chol[362],-0.001,0.006,-0.013,0.011
chol[363],-0.001,0.006,-0.012,0.011
chol[364],0.002,0.006,-0.009,0.015
chol[365],-0.0,0.006,-0.012,0.011
chol[366],0.0,0.006,-0.011,0.012
chol[367],0.001,0.005,-0.01,0.012
chol[368],0.0,0.006,-0.012,0.012
chol[369],0.0,0.005,-0.012,0.011
chol[370],0.001,0.006,-0.011,0.014
chol[371],0.001,0.006,-0.012,0.012
chol[372],0.0,0.006,-0.012,0.012
chol[373],0.0,0.005,-0.011,0.011
chol[374],-0.0,0.006,-0.012,0.012
chol[375],0.0,0.007,-0.011,0.013
chol[376],0.002,0.006,-0.009,0.016
chol[377],0.02,0.013,0.0,0.042
chol[378],0.001,0.026,-0.047,0.05
chol[379],0.018,0.024,-0.025,0.068
chol[380],-0.008,0.026,-0.054,0.043
chol[381],-0.007,0.029,-0.06,0.049
chol[382],-0.001,0.029,-0.053,0.055
chol[383],-0.0,0.025,-0.048,0.045
chol[384],0.003,0.026,-0.049,0.048
chol[385],-0.009,0.025,-0.056,0.037
chol[386],0.004,0.026,-0.048,0.049
chol[387],-0.009,0.027,-0.06,0.043
chol[388],0.001,0.025,-0.047,0.045
chol[389],-0.005,0.026,-0.052,0.046
chol[390],-0.003,0.027,-0.052,0.046
chol[391],0.019,0.024,-0.025,0.063
chol[392],-0.001,0.026,-0.052,0.047
chol[393],-0.003,0.028,-0.055,0.052
chol[394],0.02,0.027,-0.031,0.073
chol[395],0.0,0.027,-0.052,0.053
chol[396],0.007,0.028,-0.05,0.057
chol[397],0.001,0.025,-0.045,0.05
chol[398],-0.004,0.027,-0.057,0.045
chol[399],0.019,0.027,-0.029,0.072
chol[400],-0.019,0.025,-0.068,0.027
chol[401],-0.002,0.027,-0.052,0.05
chol[402],0.005,0.027,-0.043,0.055
chol[403],0.025,0.026,-0.02,0.076
chol[404],0.001,0.027,-0.048,0.053
chol[405],0.101,0.024,0.058,0.145
chol[406],-0.002,0.009,-0.02,0.014
chol[407],-0.005,0.009,-0.024,0.01
chol[408],-0.0,0.009,-0.018,0.016
chol[409],0.001,0.009,-0.016,0.019
chol[410],-0.001,0.008,-0.02,0.015
chol[411],-0.005,0.009,-0.024,0.008
chol[412],0.002,0.009,-0.014,0.02
chol[413],0.002,0.008,-0.013,0.022
chol[414],0.0,0.008,-0.017,0.017
chol[415],0.001,0.008,-0.014,0.02
chol[416],0.001,0.009,-0.016,0.019
chol[417],0.002,0.009,-0.015,0.019
chol[418],0.003,0.009,-0.013,0.021
chol[419],0.003,0.008,-0.01,0.023
chol[420],-0.001,0.008,-0.019,0.015
chol[421],-0.0,0.009,-0.019,0.017
chol[422],0.001,0.009,-0.017,0.018
chol[423],0.0,0.008,-0.015,0.018
chol[424],-0.001,0.008,-0.016,0.016
chol[425],-0.0,0.008,-0.018,0.017
chol[426],-0.0,0.008,-0.019,0.015
chol[427],-0.0,0.009,-0.017,0.018
chol[428],0.002,0.009,-0.015,0.021
chol[429],0.0,0.008,-0.017,0.017
chol[430],0.005,0.01,-0.011,0.024
chol[431],0.003,0.008,-0.012,0.022
chol[432],0.001,0.009,-0.017,0.019
chol[433],-0.002,0.009,-0.02,0.014
chol[434],0.028,0.016,0.0,0.055
chol[435],-0.0,0.006,-0.012,0.012
chol[436],-0.002,0.006,-0.018,0.007
chol[437],0.0,0.006,-0.01,0.014
chol[438],0.0,0.006,-0.011,0.014
chol[439],0.001,0.006,-0.012,0.012
chol[440],-0.001,0.006,-0.014,0.01
chol[441],0.0,0.006,-0.013,0.014
chol[442],-0.0,0.006,-0.012,0.011
chol[443],0.001,0.006,-0.012,0.013
chol[444],0.001,0.006,-0.01,0.014
chol[445],-0.0,0.006,-0.012,0.012
chol[446],0.0,0.006,-0.01,0.012
chol[447],0.0,0.006,-0.012,0.012
chol[448],-0.0,0.006,-0.012,0.012
chol[449],-0.0,0.006,-0.011,0.015
chol[450],-0.001,0.006,-0.015,0.01
chol[451],-0.0,0.006,-0.014,0.011
chol[452],0.0,0.006,-0.011,0.013
chol[453],0.0,0.006,-0.012,0.013
chol[454],-0.0,0.006,-0.012,0.012
chol[455],0.0,0.006,-0.013,0.012
chol[456],-0.0,0.006,-0.012,0.012
chol[457],0.0,0.006,-0.012,0.013
chol[458],0.001,0.006,-0.011,0.012
chol[459],0.001,0.006,-0.011,0.014
chol[460],-0.001,0.006,-0.014,0.01
chol[461],0.0,0.006,-0.012,0.014
chol[462],-0.001,0.006,-0.014,0.01
chol[463],0.0,0.006,-0.011,0.013
chol[464],0.018,0.014,0.0,0.043
chol[465],0.003,0.016,-0.029,0.033
chol[466],-0.002,0.014,-0.03,0.023
chol[467],0.001,0.016,-0.03,0.031
chol[468],0.004,0.017,-0.028,0.037
chol[469],-0.002,0.017,-0.034,0.029
chol[470],-0.005,0.016,-0.036,0.024
chol[471],0.005,0.016,-0.027,0.035
chol[472],0.023,0.017,-0.008,0.054
chol[473],0.001,0.016,-0.031,0.031
chol[474],0.002,0.017,-0.03,0.033
chol[475],0.004,0.016,-0.026,0.035
chol[476],0.007,0.016,-0.022,0.038
chol[477],0.009,0.016,-0.02,0.041
chol[478],0.003,0.015,-0.026,0.031
chol[479],-0.001,0.016,-0.032,0.029
chol[480],-0.0,0.016,-0.031,0.029
chol[481],-0.011,0.016,-0.042,0.017
chol[482],-0.006,0.016,-0.036,0.024
chol[483],-0.001,0.016,-0.033,0.028
chol[484],0.001,0.016,-0.029,0.029
chol[485],0.002,0.016,-0.03,0.033
chol[486],-0.011,0.017,-0.041,0.022
chol[487],0.0,0.016,-0.03,0.03
chol[488],0.001,0.017,-0.031,0.031
chol[489],-0.001,0.015,-0.029,0.03
chol[490],-0.013,0.016,-0.043,0.018
chol[491],-0.003,0.016,-0.033,0.025
chol[492],-0.008,0.016,-0.04,0.023
chol[493],-0.002,0.016,-0.031,0.029
chol[494],0.001,0.015,-0.027,0.03
chol[495],0.055,0.015,0.027,0.082
chol[496],-0.007,0.022,-0.053,0.034
chol[497],0.01,0.021,-0.029,0.051
chol[498],-0.002,0.024,-0.046,0.045
chol[499],0.01,0.024,-0.037,0.054
chol[500],0.006,0.025,-0.042,0.058
chol[501],-0.008,0.022,-0.053,0.033
chol[502],-0.003,0.023,-0.046,0.041
chol[503],0.011,0.022,-0.027,0.059
chol[504],0.003,0.024,-0.044,0.048
chol[505],0.006,0.024,-0.039,0.053
chol[506],-0.001,0.022,-0.043,0.042
chol[507],-0.006,0.022,-0.051,0.034
chol[508],0.014,0.026,-0.038,0.061
chol[509],0.017,0.022,-0.021,0.063
chol[510],-0.004,0.022,-0.051,0.035
chol[511],0.008,0.023,-0.034,0.055
chol[512],-0.01,0.022,-0.052,0.031
chol[513],-0.008,0.023,-0.053,0.035
chol[514],-0.001,0.023,-0.048,0.042
chol[515],-0.002,0.023,-0.046,0.04
chol[516],0.001,0.023,-0.042,0.048
chol[517],-0.004,0.022,-0.047,0.037
chol[518],0.008,0.024,-0.035,0.058
chol[519],0.003,0.023,-0.042,0.049
chol[520],0.009,0.022,-0.034,0.05
